CpG_ID,T1A_detection_Pvalue,T1B_detection_Pvalue,T2A_detection_Pvalue,T2B_detection_Pvalue,T3A_detection_Pvalue,T3B_detection_Pvalue,T4A_detection_Pvalue,T4B_detection_Pvalue,T5A_detection_Pvalue,T5B_detection_Pvalue,T6A_detection_Pvalue,T6B_detection_Pvalue,T7A_detection_Pvalue,T7B_detection_Pvalue,T8A_detection_Pvalue,T8B_detection_Pvalue,T9A_detection_Pvalue,T9B_detection_Pvalue,T10A_detection_Pvalue,T10B_detection_Pvalue,T11A_detection_Pvalue,T11B_detection_Pvalue,T12A_detection_Pvalue,T12B_detection_Pvalue,T13A_detection_Pvalue,T13B_detection_Pvalue,T14A_detection_Pvalue,T14B_detection_Pvalue,T15A_detection_Pvalue,T15B_detection_Pvalue,T16A_detection_Pvalue,T16B_detection_Pvalue,T17A_detection_Pvalue,T17B_detection_Pvalue,T18A_detection_Pvalue,T18B_detection_Pvalue,T19A_detection_Pvalue,T19B_detection_Pvalue,T20A_detection_Pvalue,T20B_detection_Pvalue,T21A_detection_Pvalue,T21B_detection_Pvalue,T22A_detection_Pvalue,T22B_detection_Pvalue,T23A_detection_Pvalue,T23B_detection_Pvalue,T24A_detection_Pvalue,T24B_detection_Pvalue,T25A_detection_Pvalue,T25B_detection_Pvalue,T26A_detection_Pvalue,T26B_detection_Pvalue,T27A_detection_Pvalue,T27B_detection_Pvalue,T28A_detection_Pvalue,T28B_detection_Pvalue,T29A_detection_Pvalue,T29B_detection_Pvalue,T30A_detection_Pvalue,T30B_detection_Pvalue,T31A_detection_Pvalue,T31B_detection_Pvalue,T32A_detection_Pvalue,T32B_detection_Pvalue,T33A_detection_Pvalue,T33B_detection_Pvalue,T34A_detection_Pvalue,T34B_detection_Pvalue,T35A_detection_Pvalue,T35B_detection_Pvalue,T36A_detection_Pvalue,T36B_detection_Pvalue,T37A_detection_Pvalue,T37B_detection_Pvalue,T38A_detection_Pvalue,T38B_detection_Pvalue,T39A_detection_Pvalue,T39B_detection_Pvalue,T40A_detection_Pvalue,T40B_detection_Pvalue,T41A_detection_Pvalue,T41B_detection_Pvalue,T42A_detection_Pvalue,T42B_detection_Pvalue,T43A_detection_Pvalue,T43B_detection_Pvalue,T44A_detection_Pvalue,T44B_detection_Pvalue,T45A_detection_Pvalue,T45B_detection_Pvalue,T46A_detection_Pvalue,T46B_detection_Pvalue,T47A_detection_Pvalue,T47B_detection_Pvalue,T48A_detection_Pvalue,T48B_detection_Pvalue
cg00000029,8.93692810596267e-136,0.0,1.51058294796907e-298,4.1478206696701e-231,4.55058078139288e-143,9.31437746329007e-253,0.0,0.0,0.0,7.40606177485997e-222,9.59631032028819e-207,0.0,6.7087519988653e-250,0.0,1.57799113666222e-304,4.05043204906964e-171,2.98519272266284e-207,1.0816785449462099e-232,3.54672945903136e-146,0.0,0.0,0.0,1.1478910675740801e-188,0.0,0.0,2.66002185276936e-150,4.73839740157737e-194,9.592110059063049e-134,0.0,0.0,0.0,0.0,0.0,0.0,9e-16,1.451291e-10,1.0036e-12,0.0,0.0,0.000711907615909,0.0,1.81487284049661e-181,9.45431587225377e-168,6.35411841098101e-231,2.5083330271403e-198,0.0,5.2913858119116906e-151,1.23935482887105e-121,7.78131855646218e-126,2.7814476750902998e-167,0.0,0.0,0.0,0.0,0.0,0.0,4.02046745831e-05,4.928495e-09,0.0300001406636073,8.4e-15,0.0,2.7918272281e-06,1.913007287e-07,0.184240849068929,5.17820820164245e-241,0.0,2.78747880983843e-205,3.72004216779075e-234,1.0576026016211099e-228,8.34540062249804e-272,3.70614660979597e-166,1.5205094171345502e-111,3.263046994385e-308,8.82148074340655e-244,4.91083548395183e-184,1.3631506627300201e-188,4.5891361620240597e-250,1.46840156716653e-144,1.0928913184399699e-129,3.4335073525496303e-110,9.051491854539489e-256,7.1377305842044e-191,3.40467285054509e-279,2.2152621709835e-267,3.21120475553784e-274,0.0,0.0,0.0,0.0,2.56475645651566e-123,0.0,0.0,6.33422524945424e-199,0.0,2.60463501141759e-139,0.0
cg00000103,3.88616699110239e-272,1.0138781177686099e-227,0.0,0.0,5.4932915388205304e-291,0.0,0.0,0.0,0.0,1.77783648252609e-154,0.0,0.0,1.15125048159784e-170,0.0,0.0,0.0,0.0,8.90816479092998e-308,1.34412915836923e-291,4.08712791663655e-119,0.0,0.0,0.0,0.0,3.5525033523783198e-124,7.59560337618926e-260,7.82530903005301e-174,5.913098898692149e-140,3.40124847557484e-241,0.0,2.7395748526162997e-139,0.0,4.8234033499265205e-269,2.73466811009625e-106,0.0,0.0,1.60158211209115e-109,1.56161304215365e-128,6.94306662999372e-166,3.9384770427e-06,4.89928045430934e-118,0.0,0.0,6.29499043138252e-283,1.18244063566313e-268,0.0,0.0,0.0,2.70138139145226e-261,2.58181565229339e-156,5.48690235130979e-141,0.0,9.1538164135727e-138,0.0,3.48274371170317e-161,0.0,0.0,1.491e-13,0.203229117821472,2.071e-13,9.21177e-11,0.0075876824550862,2.378e-13,0.009431508449597,0.0,0.0,6.03541331010018e-222,0.0,1.53423760820104e-108,0.0,0.0,0.0,1.26290652357703e-249,4.3084322903976196e-187,1.49513645357907e-190,1.6212282785794002e-156,0.0,0.0,0.0,1.6715840917401303e-120,0.0,5.46803158479111e-189,5.1544561540314096e-222,7.05029841644638e-195,0.0,0.0,0.0,5.08e-14,0.0,0.0,0.0,0.0,3.89219329435504e-180,0.0,8.82695384208612e-112,0.0
cg00000109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9876097796827e-226,0.0,0.0,0.0,4.2007082505047497e-252,0.0,0.0,0.0,0.0,0.0,0.0,4.42837401495053e-241,0.0,0.0,0.0,0.0,3.5202001747165096e-170,0.0,2.14015611576471e-239,8.60422339968787e-186,0.0,0.0,2.13186111019068e-191,6.57576378889901e-144,1.2573116502860299e-228,0.0,4.7347671393852195e-230,9.848181922382351e-151,8.83394122362959e-161,1.2461403614337e-255,7.77476611231306e-289,4.722e-13,1.55916006304316e-173,0.0,0.0,5.42127711882884e-307,0.0,0.0,0.0,0.0,0.0,2.0904416735903198e-224,1.17287685359849e-220,1.2230903947129599e-123,4.65163284852335e-130,1.5787107081947102e-132,9.74465208519283e-281,0.0,0.0,0.0,8.44206591386e-05,0.0,0.0,3.14075030645e-05,0.0,4.8972374705e-06,0.0,0.0,0.0,0.0,1.50759145147934e-242,0.0,0.0,0.0,5.42127711882884e-307,2.6917983872348198e-303,1.42902445101626e-215,1.86220591409559e-211,0.0,9.1538164135727e-138,2.43513399876284e-178,4.31406144224431e-227,0.0,0.0,0.0,0.0,0.0,0.0,1.82367830280514e-254,9.13545683851977e-132,8.739256314533759e-147,3.8565099465034004e-181,6.509286887123551e-182,0.0,1.63440896427924e-226,1.7578796094493402e-144,1.64101459227822e-234,0.0
cg00000155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2457556668e-05,0.0,0.0,0.0,0.0,0.0004877303457234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cg00000158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0602e-12,6.87822877652466e-289,2.43749434287555e-271,0.0,2.13387204115242e-203,1.802159e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cg00000165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09787743221889e-226,4.13551078939957e-216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2686267375717e-265,0.0,0.0,0.0,3.17328215533571e-271,1.9315544857336398e-285,0.0,4.4654841490874e-273,2.3382090799123e-269,0.0,8.631111455157669e-287,1.81119167320757e-163,0.0,1.2262136706254899e-287,1.24180506222238e-225,9.76818564079272e-189,3.5591678776693403e-144,0.0,1.15013822702895e-161,3.3260152381167e-138,1e-16,1.44472397346224e-270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23601595262064e-239,4.70360267548173e-261,8.968676134158599e-217,1.39972345572405e-182,2.33290782853585e-235,0.0,0.0,9.7707e-12,0.151225254268789,0.000212370356229,6.53398648e-08,2.999775072e-07,7.8e-15,0.0001769278873467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1377081138137598e-298,0.0,0.0,1.7787674490913598e-209,2.1492170175545203e-305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91795392265645e-139,0.0,0.0,0.0,1.2061370314488e-203,0.0,3.83360798519336e-191,0.0,3.77892116787647e-109
cg00000221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2489008709105002e-292,2.75132047642786e-264,0.0,0.0,0.0,6.942145171922139e-280,0.0,0.0,4.38204223329874e-272,0.0,0.0,0.0,3.41020457323171e-298,0.0,0.0,0.0,0.0,7.85439646358823e-255,0.0,0.0,0.0,0.0,0.0,1.0734988482594701e-186,0.0,7.56417409587354e-276,7.790592307727489e-218,6.952102469577611e-197,1.56952979298316e-148,1.37337928810403e-142,7.83967912344661e-204,4.99756660119618e-174,0.0,1.34334007326211e-257,0.0,0.0,1.4201613363722498e-246,0.0,0.0,0.0,0.0,0.0,1.4438322244035398e-302,2.96589436855201e-264,1.6520075276798e-175,4.89377896865179e-190,7.32974715171863e-147,7.39206506878782e-146,0.0,1.49851052804222e-117,1.3153249974240801e-111,3.80840355792e-05,0.0,0.0,0.0,0.0,0.0001945844825583,0.0,0.0,0.0,0.0,2.35327660804386e-205,0.0,0.0,0.0,1.58011052516857e-265,0.0,2.3441610238284602e-210,2.71523489022971e-253,0.0,1.25992692739349e-221,6.57839758186349e-185,1.00351015108867e-268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91249168797199e-268,0.0,2.61407300341076e-215,1.57068842275506e-301,1.57068842275506e-301,0.0,3.87033059610733e-262,1.11688641303834e-264,2.13604140949695e-139
cg00000236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50852384716611e-264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1208546228631298e-213,0.0,0.0,0.0,0.0,6.108278138510389e-234,7.09365288619314e-244,0.0,0.0,5.03658289436549e-269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05604024030125e-297,2.4819347204350598e-275,0.0,0.0,0.0,5.06485244384793e-138,0.0,0.0,0.0094436808724786,0.0,0.0,0.0,0.0,0.000975271190998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1567108194193897e-193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cg00000289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.993032577e-07,0.0,0.0,3.36911644414366e-127,0.0,5.4288928344744696e-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.332757e-10,0.0,0.0,0.0,1e-16,7.23e-14,7.84e-14,0.0,0.127517830451912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5567e-12,0.0,0.0003725079253244,0.0388615487902955,0.002968757391723,0.201400861746706,0.0564771141144223,0.0005681249582584,0.0009589573349725,0.0005949235890096,0.822335488641971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.50759e-11,0.0,0.0,0.0,2.4e-15
cg00000292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0780863156603704e-196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
